Time,X,X-STD,N,N-STD,YII,YII-STD,q,Q-STD,F,F-STD
0,0.178333333,0.013291601,35.01666667,0.783368794,0.561,0.002828427,79.85,3.323401872,120.3100949,5.186591276
12,0.361666667,0.011690452,26.35,0.56833089,0.546,0.001414214,66.15,2.333452378,186.9742034,5.39132116
24,0.526666667,0.016329932,13.08333333,1.02257844,0.5725,0.001290994,72.6,0.848528137,154.5865618,0.942201962
36,0.693333333,0.023380904,0.366666667,0.13662601,0.54325,0.010436315,73.15,1.909188309,139.2256644,9.680600107
48,0.858333333,0.034880749,0,,0.53,0.006271629,58.25,0.777817459,168.9411685,4.598834356
60,1.005,0.045934736,0,,0.51575,0.009604686,49.7,1.555634919,214.9331152,5.179322696
72,1.146666667,0.037771241,0,,0.4925,0.013892444,44,1.555634919,260.0387784,5.69311351
84,1.28,0.067527772,0,,0.479,0.008286535,39.45,1.202081528,298.4265815,8.384659994
96,1.381666667,0.033115958,0,,0.454,0.0083666,36,0.848528137,328.0601902,12.96847364
108,1.483333333,0.053913511,0,,0.43425,0.01588238,31.8,1.414213562,347.4327464,7.55740219
120,1.563333333,0.050859283,0,,0.4255,0.01040833,32.1,1.414213562,372.944307,13.09933072
132,1.665,0.028809721,0,,0.39575,0.029113284,29.4,0.141421356,376.2940372,8.795950581
144,1.736666667,0.016329932,0,,0.38375,0.021406775,28.3,1.272792206,397.4804266,14.21785962
156,1.856666667,0.053166405,0,,0.36625,0.019939492,27.45,1.202081528,407.1582915,5.196322303
168,1.928333333,0.086583293,0,,0.35,0.025599479,25.85,0.919238816,416.9920609,13.23730569
180,2.01,0.062928531,0,,0.3345,0.021809784,25.35,0.919238816,418.7805969,11.38368302
192,2.118333333,0.080104099,0,,0.313,0.008981462,24.2,1.13137085,434.8084321,8.696128159
204,2.205,0.088034084,0,,0.308,0.012489996,23.45,1.060660172,428.5572487,7.935058034
216,2.291666667,0.14316657,0,,0.2855,0.011387127,22.35,0.353553391,448.6217294,18.2289597
228,2.415,0.112738636,0,,0.2765,0.011445523,22.25,1.060660172,446.6395783,12.87677503
240,2.515,0.113973681,0,,0.2625,0.022810816,21.7,0.707106781,446.8652304,11.44472617
252,2.635,0.123409886,0,,0.23175,0.013375973,21.15,1.343502884,449.1242831,8.906495515
