Time,X,N,q,YII,f
0,0.17,24.6,79,0.54381764,11.2
10,0.3465524,18.010548,57.76746,0.54059595,23.224636
20,0.5523571,6.742741,56.643173,0.5400269,21.85853
30,0.76415914,7.25E-06,49.767113,0.53380215,25.52435
40,0.9482869,2.98E-15,40.103897,0.50637746,31.988415
50,1.1033684,1.79E-17,34.467182,0.46557462,35.758865
60,1.2339042,0,30.82087,0.42061356,38.197834
70,1.3438135,0,28.300058,0.3778099,39.883923
80,1.4364034,3.78E-40,26.47585,0.3399437,41.10405
90,1.5144477,0,25.111465,0.30765933,42.0166
100,1.5802698,0,24.06551,0.2806261,42.716164
110,1.6358154,0,23.248344,0.25817266,43.2627
120,1.6827137,0,22.600397,0.23957627,43.696053
130,1.7223308,0,22.080544,0.22417592,44.043736
140,1.7558118,0,21.659496,0.21140596,44.32533
150,1.7841184,0,21.31585,0.2007969,44.555157
160,1.8080589,0,21.033607,0.1919643,44.74392
170,1.8283129,0,20.800598,0.18459506,44.899754
180,1.8454525,0,20.607412,0.1784344,45.02895
190,1.8599602,0,20.446674,0.17327467,45.136448
200,1.8722425,0,20.31254,0.16894616,45.226154
210,1.8826424,0,20.20033,0.1653097,45.301197
220,1.8914499,0,20.106268,0.16225079,45.364105
230,1.8989098,0,20.02728,0.15967485,45.41693
240,1.9052289,0,19.960857,0.15750359,45.461353
250,1.910582,0,19.90493,0.15567192,45.498756
260,1.9151173,0,19.857792,0.15412568,45.53028
264,1.9167311,0,19.841072,0.15357667,45.541462
