Time,X,N,q,YII,f
0,0.18,35,80,0.53904074,120
0.01,0.21416992,33.700703,73.30299,0.53892344,158.50113
0.02,0.24864917,32.178535,69.26011,0.53876746,179.74037
0.03,0.28329143,30.434196,66.94804,0.5386243,189.73032
0.04,0.31808114,28.469625,65.80201,0.5385323,192.15086
0.05,0.35305825,26.287691,65.463165,0.5385019,189.3426
0.06,0.3882784,23.892479,65.6939,0.5385228,182.85883
0.07,0.42379415,21.290077,66.3292,0.5385766,173.78293
0.08,0.45964754,18.490067,67.24704,0.53864574,162.92265
0.09,0.49586725,15.508313,68.34832,0.5387169,150.9441
0.1,0.5324674,12.372577,69.53934,0.5387816,138.49135
0.11,0.5694451,9.135064,70.70909,0.53883463,126.34829
0.12,0.6067729,5.9044013,71.6835,0.5388722,115.77094
0.13,0.64437705,2.9364154,72.10622,0.5388868,109.359406
0.14,0.68207604,0.83163464,71.20668,0.5388545,112.76002
0.15,0.71951216,0.1037718,68.51341,0.53872657,129.48122
0.16,0.75637466,0.008290773,65.3006,0.5384868,150.28903
0.17,0.79258496,0.000558,62.327007,0.53813213,169.63263
0.18,0.82814497,3.3E-05,59.65136,0.53764284,187.04436
0.19,0.863066,1.73E-06,57.237804,0.5369942,202.75072
0.2,0.89735955,8.04E-08,55.050407,0.536162,216.98523
0.21,0.9310366,3.45E-09,53.059143,0.5351236,229.9432
0.22,0.96410793,1.58E-10,51.239086,0.5338588,241.78697
0.23,0.9965835,5.07E-12,49.56936,0.5323504,252.65233
0.24,1.0284733,1.21E-13,48.032368,0.5305848,262.6538
0.25,1.0597863,3.87E-15,46.613174,0.52855164,271.88867
0.26,1.0905318,2.36E-16,45.299007,0.52624446,280.44003
0.27,1.1207181,0,44.078888,0.5236601,288.37933
0.28,1.1503537,2.57E-19,42.94332,0.52079904,295.76834
0.29,1.1794463,5.23E-18,41.884064,0.5176648,302.66077
0.3,1.2080039,0,40.893913,0.51426375,309.10345
0.31,1.2360337,2.67E-18,39.966553,0.5106049,315.1375
0.32,1.2635431,2.19E-17,39.096416,0.50669956,320.7992
0.33,1.290539,1.08E-18,38.278584,0.50256073,326.12045
0.34,1.3170283,6.23E-17,37.50869,0.49820304,331.1298
0.35,1.3430176,4.76E-19,36.782845,0.49364224,335.85248
0.36,1.3685133,2.08E-17,36.09757,0.48889497,340.31116
0.37,1.3935221,0,35.44975,0.48397854,344.5261
